criterion "Is_bastille"	"who" "Medic2" required
    response bastille_CHATTER_HEALING_CRASH
}

Response wolfe_CHATTER_WILDCAT_KILL_REPLY_AHEAD
{
	speak "wolfe.WildcatKillReplyAhead0"
	speak "wolfe.WildcatKillReplyAhead1"
}

Rule wolfe_CHATTER_WILDCAT_KILL_REPLY_AHEAD
{
    criteria ConceptCHATTER_WILDCAT_KILL_REPLY_AHEAD Is_wolfe
    response wolfe_CHATTER_WILDCAT_KILL_REPLY_AHEAD
}

Response wildcat_CHATTER_WILDCAT_KILL_REPLY_AHEAD
{
	speak "wildcat.WildcatKillReplyAhead0"
}

Rule wildcat_CHATTER_WILDCAT_KILL_REPLY_AHEAD
{
    criteria ConceptCHATTER_WILDCAT_KILL_REPLY_AHEAD Is_wildcat
    response wildcat_CHATTER_WILDCAT_KILL_REPLY_AHEAD
}

Response faith_CHATTER_NEED_AMMO
{
	speak "faith.NeedAmmo0"
	speak "faith.NeedAmmo1"
}

Rule faith_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_faith
    response faith_CHATTER_NEED_AMMO
}

Response crash_CHATTER_NEED_AMMO
{
	speak "crash.NeedAmmo0"
	speak "crash.NeedAmmo1"
}

Rule crash_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_crash
    response crash_CHATTER_NEED_AMMO
}

Response jaeger_CHATTER_NEED_AMMO
{
	speak "jaeger.NeedAmmo0"
	speak "jaeger.NeedAmmo1"
}

Rule jaeger_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_jaeger
    response jaeger_CHATTER_NEED_AMMO
}

Response wolfe_CHATTER_NEED_AMMO
{
	speak "wolfe.NeedAmmo0"
}

Rule wolfe_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_wolfe
    response wolfe_CHATTER_NEED_AMMO
}

Response vegas_CHATTER_NEED_AMMO
{
	speak "vegas.NeedAmmo0"
	speak "vegas.NeedAmmo1"
}

Rule vegas_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_vegas
    response vegas_CHATTER_NEED_AMMO
}

Response sarge_CHATTER_NEED_AMMO
{
	speak "sarge.NeedAmmo0"
}

Rule sarge_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_sarge
    response sarge_CHATTER_NEED_AMMO
}

Response bastille_CHATTER_NEED_AMMO
{
	speak "bastille.NeedAmmo0"
	speak "bastille.NeedAmmo1"
	speak "bastille.NeedAmmo2"
}

Rule bastille_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_bastille
    response bastille_CHATTER_NEED_AMMO
}

Response wildcat_CHATTER_NEED_AMMO
{
	speak "wildcat.NeedAmmo0"
}

Rule wildcat_CHATTER_NEED_AMMO
{
    criteria ConceptCHATTER_NEED_AMMO Is_wildcat
    response wildcat_CHATTER_NEED_AMMO
}

Response faith_CHATTER_SHIELDBUG
{
	speak "faith.Shieldbug0"
	speak "faith.Shieldbug1"
	speak "faith.Shieldbug2"
}

Rule faith_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_faith
    response faith_CHATTER_SHIELDBUG
}

Response crash_CHATTER_SHIELDBUG
{
	speak "crash.Shieldbug0"
	speak "crash.Shieldbug2"
}

Rule crash_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_crash
    response crash_CHATTER_SHIELDBUG
}

Response jaeger_CHATTER_SHIELDBUG
{
	speak "jaeger.Shieldbug0"
	speak "jaeger.Shieldbug1"
	speak "jaeger.Shieldbug2"
}

Rule jaeger_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_jaeger
    response jaeger_CHATTER_SHIELDBUG
}

Response wolfe_CHATTER_SHIELDBUG
{
	speak "wolfe.Shieldbug0"
	speak "wolfe.Shieldbug1"
	speak "wolfe.Shieldbug2"
	speak "wolfe.Shieldbug3"
}

Rule wolfe_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_wolfe
    response wolfe_CHATTER_SHIELDBUG
}

Response vegas_CHATTER_SHIELDBUG
{
	speak "vegas.Shieldbug1"
	speak "vegas.Shieldbug2"
	speak "vegas.Shieldbug3"
}

Rule vegas_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_vegas
    response vegas_CHATTER_SHIELDBUG
}

Response sarge_CHATTER_SHIELDBUG
{
	speak "sarge.Shieldbug0"
	speak "sarge.Shieldbug1"
	speak "sarge.Shieldbug2"
}

Rule sarge_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_sarge
    response sarge_CHATTER_SHIELDBUG
}

Response bastille_CHATTER_SHIELDBUG
{
	speak "bastille.Shieldbug0"
	speak "bastille.Shieldbug1"
	speak "bastille.Shieldbug2"
}

Rule bastille_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_bastille
    response bastille_CHATTER_SHIELDBUG
}

Response wildcat_CHATTER_SHIELDBUG
{
	speak "wildcat.Shieldbug0"
}

Rule wildcat_CHATTER_SHIELDBUG
{
    criteria ConceptCHATTER_SHIELDBUG Is_wildcat
    response wildcat_CHATTER_SHIELDBUG
}

Response faith_CHATTER_MEDKIT
{
	speak "faith.Medkit0"
}

Rule faith_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_faith
    response faith_CHATTER_MEDKIT
}

Response crash_CHATTER_MEDKIT
{
	speak "crash.Medkit0"
}

Rule crash_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_crash
    response crash_CHATTER_MEDKIT
}

Response jaeger_CHATTER_MEDKIT
{
	speak "jaeger.Medkit0"
}

Rule jaeger_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_jaeger
    response jaeger_CHATTER_MEDKIT
}

Response wolfe_CHATTER_MEDKIT
{
	speak "wolfe.Medkit0"
	speak "wolfe.Medkit1"
	speak "wolfe.Medkit2"
}

Rule wolfe_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_wolfe
    response wolfe_CHATTER_MEDKIT
}

Response vegas_CHATTER_MEDKIT
{
	speak "vegas.Medkit0"
}

Rule vegas_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_vegas
    response vegas_CHATTER_MEDKIT
}

Response sarge_CHATTER_MEDKIT
{
	speak "sarge.Medkit0"
}

Rule sarge_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_sarge
    response sarge_CHATTER_MEDKIT
}

Response bastille_CHATTER_MEDKIT
{
	speak "bastille.Medkit0"
}

Rule bastille_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_bastille
    response bastille_CHATTER_MEDKIT
}

Response wildcat_CHATTER_MEDKIT
{
	speak "wildcat.Medkit0"
}

Rule wildcat_CHATTER_MEDKIT
{
    criteria ConceptCHATTER_MEDKIT Is_wildcat
    response wildcat_CHATTER_MEDKIT
}
